sku_id,sku_code,sku_name,category,sub_category,therapeutic_area,brand_generic_flag,formulary_status,unit_of_measure,standard_cost,shelf_life_days,storage_requirements,controlled_substance_flag,halal_certified,base_drug_name,minimum_order_quantity,abc_classification,item_status,last_updated,current_reorder_level,ideal_forecasted_reorder_level,reorder_quantity,lead_time
1,SKU00001,Gliclazide 50mg Capsule (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,220.59,908,Room_Temp,False,True,Gliclazide,43,A,Active,2025-09-15 05:13:36.506,148,,110,11
2,SKU00002,Metformin 10mg Syrup (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,33.76,753,Room_Temp,False,True,Metformin,12,C,Active,2025-09-15 05:13:36.506,120,,334,43
3,SKU00003,Gliclazide 50mg Injection (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,274.82,491,Room_Temp,False,True,Gliclazide,52,A,Active,2025-09-15 05:13:36.506,55,,20,78
4,SKU00004,Metformin 10mg Injection (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,78.48,477,Room_Temp,False,True,Metformin,26,B,Active,2025-09-15 05:13:36.506,17,,220,54
5,SKU00005,Insulin Glargine 5mg Tablet (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,206.75,1380,Room_Temp,False,True,Insulin Glargine,88,A,Active,2025-09-15 05:13:36.506,173,,237,28
6,SKU00006,Sitagliptin 100mg Tablet (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,212.08,680,Room_Temp,False,True,Sitagliptin,89,B,Active,2025-09-15 05:13:36.506,166,,340,56
7,SKU00007,Metformin 10mg Tablet (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,218.82,797,Room_Temp,False,True,Metformin,72,B,Active,2025-09-15 05:13:36.506,58,,224,53
8,SKU00008,Gliclazide 5mg Syrup (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,329.13,1211,Room_Temp,False,True,Gliclazide,66,A,Active,2025-09-15 05:13:36.506,173,,128,76
9,SKU00009,Sitagliptin 5mg Tablet (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,88.11,1154,Room_Temp,False,True,Sitagliptin,35,A,Discontinued,2025-09-15 05:13:36.506,157,,233,22
10,SKU00010,Sitagliptin 25mg Capsule (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,455.46,1133,Room_Temp,False,True,Sitagliptin,117,A,Discontinued,2025-09-15 05:13:36.506,163,,293,59
